"","title","code","audience_male","audience_female"
"1508","리틀 포레스트: 여름과 가을","129459","31%","69%"
"1509","스윙키즈","164101","33%","67%"
"1510","앨빈과 슈퍼밴드 3","84843",NA,NA
"1511","탐정: 리턴즈","159892","44%","56%"
"1512","패컬티","24522",NA,NA
"1513","오펀: 천사의 비밀","54704",NA,NA
"1514","영주","164102","25%","75%"
"1515","슬픔보다 더 슬픈 이야기","51781",NA,NA
"1516","우리 형","38384",NA,NA
"1517","숀더쉽","129164","21%","79%"
"1518","드림업","47425",NA,NA
"1519","마이 파더","65840",NA,NA
"1520","헷지","52551",NA,NA
"1521","소라닌","52996",NA,NA
"1522","어글리 트루스","53350",NA,NA
"1523","내겐 너무 아찔한 그녀","38319",NA,NA
"1524","렌트","56065",NA,NA
"1525","새벽의 저주","38364",NA,NA
"1526","박스트롤","109971","28%","72%"
"1527","명탐정 코난 : 감벽의 관","66725","28%","72%"
"1528","영웅: 천하의 시작","34431","80%","20%"
"1529","필라델피아","16121",NA,NA
"1530","달마야 놀자","31922",NA,NA
"1531","제이슨 본","144968","58%","42%"
"1532","장화신은 고양이","83546",NA,NA
"1533","소리꾼","189118","51%","49%"
"1534","히야","129096","12%","88%"
"1535","미씽: 사라진 여자","142625","39%","61%"
"1536","지렁이","134891","80%","20%"
"1537","모어 댄 블루","179430","48%","52%"
"1538","티파니에서 아침을","10073","20%","80%"
"1539","오멘","10066",NA,NA
"1540","하늘을 걷는 남자","125405","50%","50%"
"1541","가족","37974",NA,NA
"1542","마이 리틀 히어로","91606",NA,NA
"1543","그랜드 부다페스트 호텔","97612","39%","61%"
"1544","우아한 거짓말","106522","39%","61%"
"1545","달콤, 살벌한 연인","55405",NA,NA
"1546","레볼루셔너리 로드","66584",NA,NA
"1547","레미제라블","89755","33%","67%"
"1548","워터월드","17116",NA,NA
"1549","천국보다 아름다운","19503",NA,NA
"1550","머니볼","51786",NA,NA
"1551","엘라의 계곡","68258",NA,NA
"1552","인 디 에어","53307",NA,NA
"1553","스파이더맨: 파 프롬 홈","173123","61%","39%"
"1554","셔터 아일랜드","69689",NA,NA
"1555","써드 퍼슨","98483","44%","56%"
"1556","워 호스","79315",NA,NA
"1557","플루토에서 아침을","56362",NA,NA
"1558","액트 오브 밸러: 최정예 특수부대","86823",NA,NA
"1559","블레이드","19459",NA,NA
"1560","사쿠란","60022",NA,NA
"1561","더블 타겟","65113",NA,NA
"1562","카모메 식당","63969","100%",NA
"1563","복수는 나의 것","32667","67%","33%"
"1564","케이온","88494",NA,NA
"1565","극장판 요괴워치: 염라대왕과 5개의 이야기다냥!","137884","21%","79%"
"1566","바스터즈: 거친 녀석들","52245",NA,NA
"1567","개들의 섬","150097","34%","66%"
"1568","리턴","60480",NA,NA
"1569","레지던트 이블: 파멸의 날","110333","63%","37%"
"1570","부활","133496","46%","54%"
"1571","킹스맨: 골든 서클","149747","57%","43%"
"1572","비우티풀","75241",NA,NA
"1573","나잇 & 데이","71486",NA,NA
"1574","터널","141104","50%","50%"
"1575","파프리카","63515",NA,NA
"1576","옹박 - 무에타이의 후예","37642",NA,NA
"1577","스파이더맨: 홈커밍","135874","59%","41%"
"1578","스크림","23847",NA,NA
"1579","나의 결혼 원정기","39441",NA,NA
"1580","냉정과 열정 사이","34532","31%","69%"
"1581","주디","167637","32%","68%"
"1582","용의자","93028","58%","42%"
"1583","반칙왕","28845",NA,NA
"1584","젠틀맨","190720","68%","32%"
"1585","태양의 제국","10636",NA,NA
"1586","뮨: 달의 요정","140139","24%","76%"
"1587","밤쉘: 세상을 바꾼 폭탄선언","191143","29%","71%"
"1588","초속5센티미터","66820","52%","48%"
"1589","아쿠아맨","151153","54%","46%"
"1590","이파네마 소년","52498",NA,NA
"1591","P.S 아이 러브 유","69099",NA,NA
"1592","거짓말","130344","43%","57%"
"1593","미성년","171785","27%","73%"
"1594","안도 타다오","148863","39%","61%"
"1595","러브 라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우","181711","79%","21%"
"1596","덕혜옹주","94767","39%","61%"
"1597","형","142803","43%","57%"
"1598","아키라","20308","55%","45%"
"1599","들개","115955","18%","82%"
"1600","비비안 마이어를 찾아서","113983","38%","62%"
"1601","우아한 세계","47414",NA,NA
"1602","케빈에 대하여","86843","29%","71%"
"1603","슈퍼 빼꼼: 스파이 대작전","94183","25%","75%"
"1604","라운더스","22080",NA,NA
"1605","완벽한 그녀에게 딱 한가지 없는 것","38572",NA,NA
"1606","상하이","47428",NA,NA
"1607","50/50","78846",NA,NA
"1608","신데렐라","101963","28%","72%"
"1609","낮술","49637",NA,NA
"1610","드래프트 데이","110649","45%","55%"
"1611","다가오는 것들","147945","26%","74%"
"1612","홈","122197","23%","77%"
"1613","Mr. 히치 - 당신을 위한 데이트 코치","40034",NA,NA
"1614","월요일이 사라졌다","118955","56%","44%"
"1615","페어 러브","66001",NA,NA
"1616","토르: 다크 월드","95873",NA,NA
"1617","한 번 더 해피엔딩","124288","47%","53%"
"1618","닌자터틀 : 어둠의 히어로","137908","53%","47%"
"1619","유령 신부","42842",NA,NA
"1620","천년여우","33652",NA,NA
"1621","셰이프 오브 워터: 사랑의 모양","158626","39%","61%"
"1622","수퍼 소닉","172816","51%","49%"
"1623","시절인연","102028",NA,NA
"1624","그린치","150688","22%","78%"
"1625","마지막선물...귀휴","65751",NA,NA
"1626","이웃집 남자","54349",NA,NA
"1627","블루 발렌타인","73588","60%","40%"
"1628","바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전","149576","22%","78%"
"1629","이스케이프 플랜","92067",NA,NA
"1630","스폰지밥3D","125841","31%","69%"
"1631","1919 유관순","182407","35%","65%"
"1632","암수살인","167105","53%","47%"
"1633","18 : 우리들의 성장 느와르","102431","50%","50%"
"1634","파운더","137976","62%","38%"
"1635","런어웨이","37708",NA,NA
"1636","강철비","155665","56%","44%"
"1637","롱기스트 야드","39910",NA,NA
"1638","극장판 도라에몽: 진구의 우주영웅기~스페이스 히어로즈~","134685","26%","74%"
"1639","현기증","113303","26%","74%"
"1640","팬텀 스레드","158645","40%","60%"
"1641","좋아해, 너를","144213","100%",NA
"1642","어카운턴트","134859","70%","30%"
"1643","너의 췌장을 먹고 싶어","175318","69%","31%"
"1644","유레루","60510",NA,NA
"1645","원챈스","113163","59%","41%"
"1646","프로포즈 데이","72222",NA,NA
"1647","마음이 외치고 싶어해","142292",NA,NA
"1648","검은 사제들","120157","44%","56%"
"1649","우리들의 헤어진 여자친구","114142",NA,NA
"1650","우리 집에 왜 왔니","51957",NA,NA
"1651","보이 걸 씽","65553",NA,NA
"1652","폭력의 법칙: 나쁜 피 두 번째 이야기","154136","80%","20%"
"1653","노미오와 줄리엣","76444",NA,NA
"1654","더 콜","91700",NA,NA
"1655","리스본행 야간열차","103178","31%","69%"
"1656","헝거게임: 캣칭 파이어","94170",NA,NA
"1657","어벤져스: 에이지 오브 울트론","98438","59%","41%"
"1658","신은 죽지 않았다 3: 어둠 속의 빛","172344","33%","67%"
"1659","데스티네이션","29223",NA,NA
"1660","마야","127707","25%","75%"
"1661","할렐루야","18347",NA,NA
"1662","킹스 스피치","76439",NA,NA
"1663","시카리오: 암살자의 도시","125466","64%","36%"
"1664","매그놀리아","28789","72%","28%"
"1665","제보자","128235","50%","50%"
"1666","싱글라이더","146459","49%","51%"
"1667","모짜르트와 고래","42877",NA,NA
"1668","아틱","175039","55%","45%"
"1669","극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!","156200","28%","72%"
"1670","프리즌 이스케이프","193804","60%","40%"
"1671","나를 찾아줘","116234","51%","49%"
"1672","내 인생의 마지막 변화구","92827",NA,NA
"1673","킬 빌 - 1부","13244",NA,NA
"1674","우리도 사랑일까","78845","38%","62%"
"1675","특별수사: 사형수의 편지","130720","51%","49%"
"1676","몬스터 패밀리","163844","22%","78%"
"1677","굿모닝 에브리원","52972",NA,NA
"1678","나 없는 내 인생","37733",NA,NA
"1679","유스","139438","33%","67%"
"1680","리오 2","103324","29%","71%"
"1681","나우 유 씨 미 2","113344","52%","48%"
"1682","튼튼이의 모험","162423","54%","46%"
"1683","패터슨","144975","32%","68%"
"1684","엔젤 해즈 폴른","163831","69%","31%"
"1685","엑시트","174903","45%","55%"
"1686","무인 곽원갑","57897",NA,NA
"1687","파파로티","85640",NA,NA
"1688","킬러들의 수다","31606",NA,NA
"1689","주유소 습격사건","25970",NA,NA
"1690","불청객","76791",NA,NA
"1691","나의 첫 번째 슈퍼스타","193781","29%","71%"
"1692","양자물리학","187629","57%","43%"
"1693","씬 시티","39908",NA,NA
"1694","황색 눈물","64923",NA,NA
"1695","덩케르크","146480","62%","38%"
"1696","메기","179398","23%","77%"
"1697","해피 엔드","26350",NA,NA
"1698","그래비티","47370","53%","47%"
"1699","프로스트 VS 닉슨","47404",NA,NA
"1700","우리가 꿈꾸는 기적: 인빅터스","71083",NA,NA
"1701","더 재킷","40101",NA,NA
"1702","비밀","31371","100%",NA
"1703","김종욱 찾기","74893",NA,NA
"1704","위 워 솔저스","34416",NA,NA
"1705","앵그리버드 더 무비","133457","28%","72%"
"1706","저수지의 개들","16570",NA,NA
"1707","칠드런 오브 맨","63113","53%","47%"
"1708","향수 - 어느 살인자의 이야기","52553","41%","59%"
"1709","옹박 - 두번째 미션","41334",NA,NA
"1710","쏘우 2","43210",NA,NA
"1711","데인저러스 메소드","74058",NA,NA
"1712","램페이지","162249","58%","42%"
"1713","로드 투 퍼디션","31310",NA,NA
"1714","겟 아웃","156083","52%","48%"
"1715","캐리비안의 해적: 죽은 자는 말이 없다","82473","59%","41%"
"1716","나의 특별한 사랑 이야기","66253",NA,NA
"1717","신기전","63824",NA,NA
"1718","런","190722","54%","46%"
"1719","앨빈과 슈퍼밴드: 악동 어드벤처","113301","24%","76%"
"1720","메이즈 러너","105015","52%","48%"
"1721","더 테러 라이브","99794",NA,NA
"1722","7급 공무원","51082",NA,NA
"1723","에너미 라인스","34076",NA,NA
"1724","안녕, 형아","39427",NA,NA
"1725","데스 노트 - 라스트 네임","63562",NA,NA
"1726","헤어스프레이","45535",NA,NA
"1727","라이온 킹","169637","42%","58%"
"1728","해적: 바다로 간 산적","102817","47%","53%"
"1729","인크레더블 헐크","62560",NA,NA
"1730","시간 여행자의 아내","68086",NA,NA
"1731","분노의 질주","32723",NA,NA
"1732","테넷","190010","66%","34%"
"1733","노아의 방주: 남겨진 녀석들","133223","25%","75%"
"1734","크래쉬","39840",NA,NA
"1735","공조","142384","46%","54%"
"1736","사도","121922","43%","57%"
"1737","원티드","66834",NA,NA
"1738","바람의 검, 신선조","37720",NA,NA
"1739","버드맨","107306","50%","50%"
"1740","콜드 워","174832","43%","57%"
"1741","판타스틱 소녀 백서","32975",NA,NA
"1742","고스트버스터즈","10095",NA,NA
"1743","이별계약","105002",NA,NA
"1744","시간","57829",NA,NA
"1745","청년경찰","153652","45%","55%"
"1746","간츠: 오","153729","90%","10%"
"1747","브라더스","69866",NA,NA
"1748","트루 로맨스","16201",NA,NA
"1749","이퀄스","127361","36%","64%"
"1750","거울나라의 앨리스","118953","32%","68%"
"1751","구스범스","127866","38%","62%"
"1752","미스터 노바디","70615",NA,NA
"1753","아메리칸 싸이코","28910",NA,NA
"1754","바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동","158266","24%","76%"
"1755","우리의 20세기","143390","25%","75%"
"1756","아이 인 더 스카이","125419","58%","42%"
"1757","피터와 드래곤","134847","28%","72%"
"1758","종려나무 숲","42931",NA,NA
"1759","판의 미로 - 오필리아와 세 개의 열쇠","49336","32%","68%"
"1760","인랑","29892",NA,NA
"1761","짱구는 못말려 극장판 : 태풍을 부르는 황금 스파이 대작전","90553",NA,NA
"1762","슈퍼미니","116327","30%","70%"
"1763","컨택트","136869","56%","44%"
"1764","벤허","125468","50%","50%"
"1765","쓰리 데이즈","72043",NA,NA
"1766","스탠리의 도시락","86177",NA,NA
"1767","살아남은 아이","159894","35%","65%"
"1768","무지개 여신","63485",NA,NA
"1769","레드카펫","106332","49%","51%"
"1770","사랑할 때 이야기하는 것들","60548",NA,NA
"1771","하늘에서 음식이 내린다면","53041",NA,NA
"1772","판도라","132933","49%","51%"
"1773","멋진 악몽","77835",NA,NA
"1774","장사리 : 잊혀진 영웅들","159806","59%","41%"
"1775","짱구는 못말려 극장판: 태풍을 부르는 나와 우주의 프린세스","93002",NA,NA
"1776","오블리비언","85633",NA,NA
"1777","애프터: 그 후","195442","12%","88%"
"1778","명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀","133380","35%","65%"
"1779","좋아해줘","136893","39%","61%"
"1780","킹스글레이브: 파이널 판타지 XV","149797","82%","18%"
"1781","올 이즈 로스트","91189",NA,NA
"1782","댄 인 러브","69339",NA,NA
"1783","아이스 에이지 4: 대륙 이동설","82227",NA,NA
"1784","메소드","165669","17%","83%"
"1785","나의 PS 파트너","90885",NA,NA
"1786","폼포코 너구리 대작전","22749",NA,NA
"1787","여고괴담 두번째 이야기","25917","29%","71%"
"1788","불량 공주 모모코","38823",NA,NA
"1789","그래, 가족","151192","32%","68%"
"1790","크리스마스 캐롤","68204",NA,NA
"1791","컨저링 2","114282","58%","42%"
"1792","포화 속으로","51386",NA,NA
"1793","타임 패러독스","118347","58%","42%"
"1794","내안의 그놈","164172","42%","58%"
"1795","저 산 너머","193092","38%","62%"
"1796","베티블루 37.2","12787","29%","71%"
"1797","마이펫 오지","157500","20%","80%"
"1798","클라우드 아틀라스","82389",NA,NA
"1799","벼랑 위의 포뇨","66464","100%",NA
"1800","허비 - 첫 시동을 걸다","41592",NA,NA
"1801","화벽","82262",NA,NA
"1802","컬러풀 웨딩즈","125426","33%","67%"
"1803","69 식스티 나인","39632",NA,NA
"1804","프라임 러브","43610",NA,NA
"1805","월드워Z","51777","100%",NA
"1806","일루셔니스트","54871",NA,NA
"1807","월스트리트: 분노의 복수","108043",NA,NA
"1808","파더 앤 도터","123275","41%","59%"
"1809","코어","36839",NA,NA
"1810","페넬로피","65242",NA,NA
"1811","인투 더 스톰","100990","54%","46%"
"1812","말레피센트","92003","36%","64%"
"1813","팬도럼","54290",NA,NA
"1814","노인을 위한 나라는 없다","66751","48%","52%"
"1815","사랑을 놓치다","42690",NA,NA
"1816","원 데이","79770","44%","56%"
"1817","아르고","91603",NA,NA
"1818","발레 교습소","38138",NA,NA
"1819","엑스맨 2 - 엑스투","35110",NA,NA
"1820","팅커 테일러 솔저 스파이","80219","100%",NA
"1821","연애, 그 참을 수 없는 가벼움","58273",NA,NA
"1822","오! 브라더스","36720",NA,NA
"1823","엑스맨 탄생: 울버린","64161",NA,NA
"1824","무산일기","78300",NA,NA
"1825","서약","84414",NA,NA
"1826","비기너스","78672",NA,NA
"1827","철콘 근크리트","64089","100%",NA
"1828","플란다스의 개","28267","75%","25%"
"1829","럭키 넘버 슬레븐","47401",NA,NA
"1830","빅 아이즈","81464","38%","62%"
"1831","미스터 캣","137972","34%","66%"
"1832","제로 다크 서티","85141","100%",NA
"1833","캐리비안의 해적 - 세상의 끝에서","43679",NA,NA
"1834","서양골동양과자점 앤티크","69467",NA,NA
"1835","아나콘다","18564",NA,NA
"1836","마녀","175322","52%","48%"
"1837","홀리","88275",NA,NA
"1838","멋진 하루","69023","100%",NA
"1839","브리짓 존스의 일기 - 열정과 애정","38906",NA,NA
"1840","컨테이젼","32972",NA,NA
"1841","해리 포터와 죽음의 성물 - 1부","67901",NA,NA
"1842","마루 밑 아리에티","73301",NA,NA
"1843","전우치","48227",NA,NA
"1844","577 프로젝트","91391",NA,NA
"1845","거북이는 의외로 빨리 헤엄친다","42869",NA,NA
"1846","데드풀","75426","65%","35%"
"1847","디스 민즈 워","76692",NA,NA
"1848","SMTOWN THE STAGE","140109","5%","95%"
"1849","1번가의 기적","61103",NA,NA
"1850","스타트렉 비욘드","125414","53%","47%"
"1851","화성 아이, 지구 아빠","65513",NA,NA
"1852","나의 사적인 여자친구","129671","29%","71%"
"1853","마지막 4중주","98744","30%","70%"
"1854","셰임","87163","14%","86%"
"1855","이스턴 프라미스","65197",NA,NA
"1856","아이스 에이지: 지구 대충돌","127378","22%","78%"
"1857","21 그램","37951","100%",NA
"1858","환절기","148647","42%","58%"
"1859","디파이언스","47364",NA,NA
"1860","저지 걸","35941",NA,NA
"1861","체인지","17920",NA,NA
"1862","봄날의 곰을 좋아하세요?","36352",NA,NA
"1863","파가니니: 악마의 바이올리니스트","118652","36%","64%"
"1864","문호 스트레이독스 [데드애플]","172117","15%","85%"
"1865","와일드 테일즈: 참을 수 없는 순간","124844","28%","72%"
"1866","해피 데스데이","164932","49%","51%"
"1867","셜록 홈즈","51132",NA,NA
"1868","리미트리스","76452",NA,NA
"1869","로빈슨 크루소","147834","31%","69%"
"1870","엑스맨: 아포칼립스","119430","62%","38%"
"1871","나쁜 녀석들 2","34486",NA,NA
"1872","맨 프롬 UNCLE","90591","44%","56%"
"1873","신은 죽지 않았다 2","147054","31%","69%"
"1874","미라클 프롬 헤븐","140787","42%","58%"
"1875","야구소녀","189633","25%","75%"
"1876","퀸카로 살아남는 법","38582",NA,NA
"1877","천일의 스캔들","61845",NA,NA
"1878","더 테너 리리코 스핀토","93793","38%","62%"
"1879","아나키스트","26980",NA,NA
"1880","맨 인 블랙 3","75173",NA,NA
"1881","터미네이터: 미래전쟁의 시작","66520",NA,NA
"1882","패스트 & 퓨리어스 2","36857",NA,NA
"1883","4월 이야기","27404","100%",NA
"1884","몬스터 호텔","87305",NA,NA
"1885","더 임파서블","82924",NA,NA
"1886","신비한 동물사전","115642","47%","53%"
"1887","가구야공주 이야기","103708","34%","66%"
"1888","황시","65836",NA,NA
"1889","사일런스","90922","48%","52%"
"1890","클루리스","17417",NA,NA
"1891","플레이","79149",NA,NA
"1892","빌리와 용감한 녀석들 3","133169","16%","84%"
"1893","안나 카레니나","93217",NA,NA
"1894","링컨 차를 타는 변호사","80626",NA,NA
"1895","라파예트","63017",NA,NA
"1896","스카우트","66510",NA,NA
"1897","로마 위드 러브","84917","44%","56%"
"1898","스워드피쉬","31939",NA,NA
"1899","경계선","175045","49%","51%"
"1900","기억의 밤","160399","47%","53%"
"1901","슬리피 할로우","28099",NA,NA
"1902","바람의 파이터","33837",NA,NA
"1903","터키","107053","20%","80%"
"1904","장난스런 키스","180381","23%","77%"
"1905","호튼","65473",NA,NA
"1906","신암행어사","39563",NA,NA
"1907","작전명 발키리","68063",NA,NA
"1908","127 시간","72327",NA,NA
"1909","언어의 정원","106335","51%","49%"
"1910","블라인드 멜로디","180166","42%","58%"
"1911","프랑켄위니","76956",NA,NA
"1912","핫 칙","36508",NA,NA
"1913","비포 미드나잇","102309","30%","70%"
"1914","앙코르","42493",NA,NA
"1915","워터호스","65877",NA,NA
"1916","에반게리온: 서","67382",NA,NA
"1917","천사와 악마","61503",NA,NA
"1918","폭스캐처","100676","50%","50%"
"1919","하트 오브 더 씨","114225","51%","49%"
"1920","꾸뻬씨의 행복여행","101953","38%","62%"
"1921","클라우즈 오브 실스마리아","109640","33%","67%"
"1922","진주 귀걸이를 한 소녀","37937","29%","71%"
"1923","무언의 목격자","17462",NA,NA
"1924","극장판 포켓몬스터 베스트위시 : 큐레무 VS 성검사 케르디오","96377",NA,NA
"1925","쏘우","39614",NA,NA
"1926","마더","47701","82%","18%"
"1927","잠깐만 회사 좀 관두고 올게","159741","39%","61%"
"1928","록키 4","10024",NA,NA
"1929","고령화 가족","97693",NA,NA
"1930","클로저","39723","34%","66%"
"1931","차일드 44","102934","50%","50%"
"1932","아델라인 : 멈춰진 시간","118954","57%","43%"
"1933","릴리 슈슈의 모든 것","31477",NA,NA
"1934","내 첫사랑을 너에게 바친다","72012",NA,NA
"1935","디센던트","81834",NA,NA
"1936","플랜맨","103759","64%","36%"
"1937","불량남녀","75400",NA,NA
"1938","인사이드 르윈","89627","47%","53%"
"1939","야간비행","120042","34%","66%"
"1940","저스트 라이크 헤븐","43844",NA,NA
"1941","극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~","172975","28%","72%"
"1942","메리 포핀스 리턴즈","151151","24%","76%"
"1943","인디펜던스 데이","17416",NA,NA
"1944","사랑보다 아름다운 유혹","24280",NA,NA
"1945","극장판 도라에몽: 진구의 인어대해전","74485",NA,NA
"1946","파고","18002",NA,NA
"1947","원라인","142699","50%","50%"
"1948","마을에 부는 산들바람","66069",NA,NA
"1949","알렉스 크로스","92129",NA,NA
"1950","킥 애스 2: 겁 없는 녀석들","75711",NA,NA
"1951","올드 가드","193173",NA,NA
"1952","귀 없는 토끼","46804",NA,NA
"1953","미스터 & 미세스 스미스","39892",NA,NA
"1954","연애의 목적","39863",NA,NA
"1955","오로라 공주","37243",NA,NA
"1956","킬 유어 달링","92004","13%","87%"
"1957","메카닉","71769",NA,NA
"1958","국가부도의 날","164192","55%","45%"
"1959","해피 플라이트","50903",NA,NA
"1960","킹메이커","81833","100%",NA
"1961","바람의 검심","86343",NA,NA
"1962","천하장사 마돈나","57805",NA,NA
"1963","잔 다르크","27513",NA,NA
"1964","붉은 가족","99774",NA,NA
"1965","싱글즈","36415",NA,NA
"1966","파파","85906",NA,NA
"1967","씬 레드 라인","23850",NA,NA
"1968","프란시스 하","98738","25%","75%"
"1969","프리즈너스","100203",NA,NA
"1970","내겐 너무 사랑스러운 그녀","68946",NA,NA
"1971","카핑 베토벤","64093",NA,NA
"1972","몽상가들","37544","32%","68%"
"1973","조선명탐정: 각시투구꽃의 비밀","76080",NA,NA
"1974","사랑은 언제나 진행중","70564",NA,NA
"1975","크레이지 하트","72355",NA,NA
"1976","하늘에서 음식이 내린다면 2","100950",NA,NA
"1977","녹터널 애니멀스","143409","32%","68%"
"1978","12 솔져스","168037","46%","54%"
"1979","문라이즈 킹덤","90537","47%","53%"
"1980","아라한 장풍대작전","36956",NA,NA
"1981","나의 산티아고","146311","34%","66%"
"1982","하나와 앨리스","38461","100%",NA
"1983","베스트 엑조틱 메리골드 호텔","86134",NA,NA
"1984","에이리언: 커버넌트","99715","71%","29%"
"1985","심야식당","132665","36%","64%"
"1986","트랜스포머: 패자의 역습","68052",NA,NA
"1987","환생","37200",NA,NA
"1988","마스터","145162","50%","50%"
"1989","세상의 끝까지 21일","91698",NA,NA
"1990","박열","155716","50%","50%"
"1991","황혼에서 새벽까지","19019",NA,NA
"1992","언스토퍼블","70434",NA,NA
"1993","옥희의 영화","75744","41%","59%"
"1994","박수건달","91073",NA,NA
"1995","모모와 다락방의 수상한 요괴들","87716",NA,NA
"1996","색즉시공 시즌 2","62219",NA,NA
"1997","윔블던","39397",NA,NA
"1998","퍼펙트 스톰","29663",NA,NA
"1999","커뮤터","152249","56%","44%"
"2000","명탐정 피카츄","167657","45%","55%"
