carat,cut,color,clarity,price,len,wid,dep
1,Very Good,F,SI1,4851,6.32,6.36,3.89
0.5,Ideal,E,VS1,1724,5.12,5.09,3.18
0.83,Ideal,I,SI2,2444,6.03,6.06,3.7
0.3,Good,I,SI1,506,4.27,4.19,2.7
1.25,Premium,J,VS2,5396,6.88,6.86,4.27
1.01,Premium,E,SI1,5226,6.39,6.38,4.01
1.02,Ideal,F,VVS2,9598,6.42,6.45,4.01
0.9,Very Good,F,VS2,4678,6.17,6.23,3.84
2.01,Premium,J,VS2,13228,8.13,8.07,4.98
0.61,Ideal,G,IF,2575,5.44,5.49,3.37
1.2,Ideal,E,VS2,10214,6.89,6.84,4.21
0.9,Premium,I,VS2,3276,6.35,6.29,3.69
0.53,Ideal,E,VVS2,2288,5.15,5.17,3.22
0.32,Ideal,G,IF,954,4.4,4.43,2.7
1.17,Ideal,F,VS2,7927,6.74,6.81,4.19
1.01,Good,F,SI2,4416,6.33,6.44,4.08
0.3,Very Good,G,VVS1,1013,4.25,4.23,2.68
0.31,Ideal,H,VVS2,609,4.37,4.39,2.69
0.76,Ideal,J,SI1,1859,5.85,5.92,3.64
0.55,Ideal,E,VS2,1715,5.28,5.24,3.26
0.41,Ideal,E,SI2,876,4.8,4.76,2.96
1.22,Very Good,J,SI2,4861,6.84,6.96,4.17
0.38,Ideal,D,VS2,1013,4.65,4.67,2.88
1,Good,F,SI1,4586,6.28,6.22,3.99
0.32,Premium,F,SI1,684,4.45,4.42,2.66
0.53,Good,D,SI2,1318,5.14,5.1,3.27
0.36,Very Good,E,SI1,615,4.59,4.62,2.76
1,Premium,F,SI2,4155,6.44,6.37,4.02
0.91,Ideal,J,VS1,3267,6.23,6.26,3.79
1.2,Premium,H,SI1,6129,6.77,6.72,4.19
1.01,Very Good,D,SI2,4338,6.43,6.37,4.04
0.31,Ideal,F,VS2,625,4.3,4.34,2.65
1.62,Premium,G,VS2,13578,7.49,7.54,4.68
0.53,Very Good,J,VS2,1124,5.15,5.24,3.24
0.41,Very Good,G,VVS2,1007,4.7,4.74,2.97
1.34,Ideal,G,VS2,9233,7.05,7.1,4.38
1.5,Fair,I,SI2,4704,7.14,7.09,4.62
1.04,Very Good,F,IF,10515,6.64,6.71,3.99
0.39,Ideal,G,SI2,603,4.71,4.73,2.89
0.9,Fair,F,SI1,3437,6.08,6.05,3.95
0.4,Premium,F,VS2,1080,4.76,4.71,2.94
0.41,Very Good,H,VS1,788,4.8,4.82,2.96
0.72,Premium,E,VS2,2903,5.8,5.75,3.53
0.44,Very Good,H,IF,1194,4.91,4.94,3.01
0.7,Premium,F,VS2,2762,5.65,5.59,3.46
0.41,Premium,E,VS1,1153,4.72,4.7,2.96
0.37,Premium,D,VS2,876,4.59,4.63,2.81
1.12,Ideal,J,VS2,4422,6.82,6.75,4.08
1.01,Very Good,H,VVS1,6733,6.5,6.53,3.95
0.31,Premium,F,VS2,802,4.41,4.39,2.61
2.04,Premium,G,SI2,12794,8.18,8.13,5
1.2,Very Good,G,SI2,5116,6.68,6.74,4.2
2.01,Good,F,SI2,16013,7.89,8.01,5
0.77,Premium,E,SI1,2896,5.94,5.88,3.6
0.41,Very Good,D,SI1,947,4.72,4.68,2.98
0.56,Ideal,G,VS1,1822,5.28,5.3,3.28
0.9,Fair,J,VS1,2964,6.02,5.93,3.91
1.31,Premium,G,VVS2,11255,7.23,7.14,4.28
0.32,Premium,G,VS2,561,4.41,4.42,2.67
0.4,Fair,E,VS2,813,4.63,4.67,3.01
0.25,Very Good,E,VVS2,575,4.06,4.1,2.47
0.32,Premium,G,SI1,612,4.43,4.41,2.74
0.72,Ideal,F,VVS1,4362,5.78,5.8,3.53
0.3,Very Good,D,SI1,479,4.32,4.35,2.55
0.46,Very Good,F,SI1,904,5.01,5.04,3.02
1.01,Ideal,F,VS1,7887,6.46,6.42,3.99
0.75,Very Good,G,SI1,2545,5.84,5.88,3.57
0.32,Premium,H,VS2,648,4.41,4.39,2.7
0.27,Ideal,F,VS2,577,4.24,4.27,2.56
0.56,Ideal,F,VVS2,2462,5.29,5.32,3.28
0.33,Ideal,D,SI1,736,4.46,4.5,2.73
0.34,Premium,E,SI1,765,4.5,4.47,2.77
1.04,Ideal,G,VS1,7655,6.57,6.61,4
1.54,Premium,J,SI1,5028,7.48,7.41,4.55
1.5,Very Good,H,VS2,11025,7.34,7.41,4.48
0.23,Very Good,F,VS1,373,3.91,3.95,2.44
2,Premium,J,VS2,13675,8.11,8.06,4.97
1.03,Ideal,F,VS2,6922,6.52,6.49,4.05
0.5,Premium,E,VS2,1746,5.12,5.06,3.12
1.19,Very Good,H,SI1,5595,6.84,6.87,4.17
0.9,Good,F,SI1,4232,6.02,6.1,3.89
0.5,Very Good,I,VS1,1013,5.07,5.01,3.18
0.34,Good,G,SI1,507,4.42,4.45,2.81
0.54,Ideal,E,VS2,1754,5.2,5.23,3.23
0.7,Very Good,F,SI1,2196,5.63,5.67,3.54
0.71,Ideal,I,IF,2925,5.74,5.77,3.54
2.02,Premium,E,SI2,18117,8.18,8.12,4.97
1.12,Premium,I,SI1,4704,6.76,6.7,4.09
0.51,Ideal,H,SI1,1195,5.14,5.11,3.23
0.53,Ideal,H,SI2,1020,5.22,5.26,3.23
1.75,Very Good,I,SI1,10635,7.62,7.66,4.8
0.49,Good,F,VS1,1294,5.18,5.21,3.04
0.56,Ideal,D,SI1,2053,5.27,5.3,3.27
1.01,Premium,E,VS2,6335,6.56,6.52,3.94
1.01,Premium,D,SI1,5210,6.4,6.43,3.96
0.82,Ideal,E,SI1,3979,6.02,6.05,3.73
0.71,Premium,G,VS1,2825,5.73,5.66,3.54
0.36,Ideal,D,VS2,852,4.58,4.62,2.81
0.32,Premium,G,VS2,720,4.45,4.42,2.71
1.47,Very Good,J,VS2,6763,7.18,7.23,4.5
1.72,Very Good,D,SI2,12360,7.59,7.53,4.79
0.3,Premium,G,VS1,776,4.31,4.28,2.67
1.52,Ideal,G,VS2,12161,7.35,7.4,4.52
1.01,Premium,F,SI1,5249,6.36,6.41,3.97
0.38,Ideal,G,SI1,855,4.67,4.63,2.85
0.41,Good,D,SI1,758,4.98,4.94,2.8
0.3,Ideal,E,VVS2,949,4.35,4.37,2.65
1.42,Ideal,I,VS2,8173,7.28,7.38,4.43
1,Ideal,E,VS2,6859,6.41,6.46,3.97
0.73,Ideal,G,VVS2,3396,5.78,5.81,3.59
0.5,Good,J,VS2,965,5.01,5.06,3.18
0.32,Ideal,E,VS2,900,4.41,4.38,2.73
0.54,Ideal,G,VVS1,2041,5.22,5.24,3.22
0.32,Ideal,I,VS1,648,4.46,4.44,2.71
0.38,Ideal,I,VS1,703,4.63,4.68,2.88
0.54,Ideal,D,SI1,1607,5.18,5.23,3.23
0.24,Very Good,F,VS1,461,4.01,4.04,2.45
0.51,Premium,G,VS1,1781,5.37,5.05,3.23
0.3,Ideal,F,VS1,673,4.28,4.3,2.66
0.33,Ideal,E,VVS1,1374,4.46,4.43,2.75
0.45,Good,G,VVS1,1254,4.86,4.82,3.1
0.7,Ideal,E,SI1,2058,5.71,5.68,3.52
1.14,Ideal,H,SI1,7079,6.72,6.75,4.14
0.4,Ideal,G,VVS1,1059,4.74,4.79,2.93
0.4,Very Good,D,VS2,850,4.66,4.68,2.91
1.53,Premium,H,VS2,11280,7.34,7.3,4.55
1.1,Ideal,G,VVS2,9148,6.67,6.63,4.1
1.01,Very Good,E,SI2,4363,6.32,6.38,4.03
0.31,Ideal,F,VS2,802,4.36,4.34,2.7
1.15,Ideal,I,VS1,5930,6.74,6.76,4.14
2.01,Fair,H,SI2,10184,7.88,7.81,5.09
0.26,Ideal,F,SI1,447,4.12,4.14,2.55
1.23,Very Good,F,VS1,9346,6.88,6.95,4.19
0.41,Ideal,I,VS1,753,4.81,4.84,2.98
0.43,Ideal,G,SI1,951,4.88,4.9,2.99
1.73,Ideal,I,VS2,13465,7.72,7.79,4.73
1.4,Premium,H,SI1,8624,7.22,7.16,4.35
0.63,Good,H,VS1,1767,5.47,5.56,3.47
1.5,Fair,D,VS2,12606,7.12,7.1,4.65
0.9,Ideal,D,VS1,7393,6.14,6.17,3.81
1.13,Good,D,SI2,4406,6.68,6.63,4
0.42,Premium,G,VS2,847,4.77,4.82,2.97
0.59,Ideal,F,VS2,1828,5.41,5.44,3.31
4.5,Fair,J,I1,18531,10.23,10.16,6.72
1.09,Ideal,E,IF,15193,6.68,6.72,4.03
1.73,Ideal,F,VS1,16131,7.73,7.64,4.77
1.14,Premium,G,VS2,7079,6.79,6.73,4.12
0.9,Ideal,D,SI1,5656,6.15,6.19,3.85
0.4,Ideal,I,VVS2,1035,4.77,4.74,2.95
0.33,Ideal,I,IF,675,4.45,4.49,2.76
0.59,Premium,F,SI1,2124,5.37,5.33,3.33
0.32,Ideal,I,VS2,466,4.39,4.41,2.74
0.32,Premium,G,VVS2,730,4.42,4.45,2.67
0.3,Ideal,D,VVS2,814,4.29,4.32,2.65
1,Fair,G,SI2,2856,5.96,5.9,4.02
1.21,Very Good,I,SI2,5014,6.7,6.66,4.22
1.7,Good,H,VS2,12723,7.48,7.58,4.71
1.04,Very Good,G,VS2,6095,6.49,6.55,4.06
1.86,Premium,G,SI2,10572,7.9,7.8,4.91
2.54,Ideal,G,SI2,14421,8.75,8.69,5.45
0.32,Premium,H,SI1,461,4.4,4.43,2.69
0.42,Ideal,J,VS1,723,4.75,4.79,2.99
0.7,Ideal,E,VS2,3068,5.65,5.69,3.55
0.26,Premium,F,VS1,580,4.22,4.18,2.5
1.51,Very Good,F,SI2,8581,7.25,7.32,4.57
0.39,Very Good,E,I1,511,4.61,4.66,2.91
0.8,Ideal,F,VVS2,4140,5.97,5.94,3.67
0.72,Very Good,H,VVS2,2771,5.81,5.83,3.51
0.41,Good,G,VVS1,844,4.72,4.74,3.01
0.3,Ideal,G,VS2,675,4.3,4.27,2.7
0.7,Premium,F,SI2,1890,5.7,5.64,3.52
0.32,Very Good,E,SI1,561,4.39,4.41,2.71
0.54,Premium,H,SI1,1154,5.23,5.27,3.2
0.32,Ideal,G,VS1,645,4.37,4.39,2.73
0.41,Ideal,F,VS1,1007,4.74,4.77,2.98
2.01,Ideal,I,SI1,12617,8.04,7.96,5
1.5,Premium,I,SI2,7526,7.29,7.24,4.54
0.56,Ideal,J,VS2,1131,5.32,5.34,3.27
0.9,Very Good,G,VS2,4135,6.08,6.13,3.87
0.33,Premium,E,SI2,594,4.53,4.48,2.69
1.01,Very Good,D,SI2,5252,6.46,6.5,3.88
0.59,Ideal,I,VVS1,1742,5.43,5.48,3.33
0.9,Premium,E,SI2,3599,6.18,6.09,3.84
1.12,Very Good,G,IF,9820,6.7,6.72,4.09
2.11,Premium,G,SI1,17816,8.24,8.19,5.06
0.35,Ideal,F,VS2,706,4.55,4.6,2.81
1.02,Ideal,E,IF,12030,6.44,6.38,3.99
1.2,Ideal,G,VVS1,9009,6.77,6.81,4.22
0.42,Ideal,G,VVS2,1103,4.78,4.77,2.99
1.59,Ideal,J,SI2,7155,7.51,7.44,4.64
0.27,Very Good,G,VS1,399,4.25,4.36,2.53
0.61,Very Good,G,SI1,1548,5.5,5.43,3.26
1.9,Ideal,I,SI2,12165,8,8.06,4.89
1.15,Ideal,H,SI2,4870,6.68,6.75,4.16
1.21,Very Good,H,SI2,5324,6.7,6.75,4.21
1.03,Ideal,G,SI1,4900,6.54,6.5,3.97
0.74,Good,E,VS1,2824,5.73,5.75,3.62
1.2,Very Good,G,SI2,5474,6.81,6.84,4.11
1.5,Good,I,I1,3696,7.22,7.1,4.57
0.52,Ideal,G,VVS2,2238,5.15,5.2,3.19
1.01,Very Good,F,SI2,3945,6.32,6.38,3.86
1.1,Premium,H,VS2,5729,6.59,6.54,4.1
0.78,Very Good,F,SI1,3045,5.83,5.86,3.65
0.73,Good,F,SI2,2023,5.71,5.75,3.63
0.3,Premium,F,VS2,605,4.29,4.34,2.65
0.38,Ideal,G,VVS2,879,4.72,4.76,2.84
1.01,Very Good,J,SI1,4295,6.35,6.39,3.96
0.92,Very Good,I,SI1,3345,6.12,6.18,3.92
0.26,Very Good,D,VS1,425,4.15,4.18,2.5
0.3,Ideal,E,VS2,844,4.3,4.27,2.64
0.31,Very Good,E,VVS1,725,4.3,4.34,2.7
1.03,Ideal,J,SI2,4347,6.58,6.57,3.99
1.63,Good,F,SI1,10901,7.71,7.79,4.47
2.03,Very Good,H,SI2,16442,8.52,8.42,4.81
1.13,Ideal,H,SI1,4556,6.72,6.7,4.11
0.27,Ideal,G,VVS2,566,4.18,4.2,2.54
0.35,Ideal,G,VS2,807,4.55,4.58,2.8
1.05,Very Good,G,SI2,4241,6.49,6.56,4.02
0.67,Good,D,SI1,2258,5.53,5.48,3.51
1.06,Ideal,G,VS1,7594,6.6,6.64,4.02
0.33,Ideal,G,VS1,854,4.48,4.44,2.74
0.28,Very Good,H,VVS1,525,4.2,4.23,2.65
2.04,Premium,H,SI2,15760,8.12,8.06,5.07
0.5,Very Good,H,SI1,1181,5.02,4.96,3.15
0.71,Good,I,VS1,2327,5.76,5.65,3.51
0.58,Premium,E,VS1,2297,5.35,5.3,3.31
1.04,Very Good,I,SI1,4175,6.39,6.45,4.01
0.31,Ideal,D,VVS2,777,4.43,4.46,2.67
0.71,Premium,G,VS2,2694,5.81,5.76,3.49
0.32,Ideal,D,SI2,612,4.42,4.38,2.72
0.34,Good,H,VS2,689,4.44,4.42,2.82
0.8,Very Good,G,VVS2,4002,5.95,5.98,3.73
0.51,Premium,F,VS1,1836,5.27,5.17,3.18
1.03,Ideal,D,SI2,4752,6.53,6.61,3.99
1.5,Very Good,G,VVS2,15013,7.22,7.32,4.57
1.16,Ideal,G,VS2,7203,6.72,6.66,4.17
0.73,Ideal,E,SI1,2728,5.77,5.81,3.58
0.41,Ideal,F,VVS2,1115,4.83,4.85,2.91
1.21,Ideal,D,SI2,6190,6.81,6.83,4.23
0.49,Premium,F,SI1,1179,5.2,5.15,3.04
0.43,Ideal,I,VVS1,916,4.86,4.9,2.98
0.34,Premium,F,VS2,686,4.44,4.48,2.79
0.3,Premium,H,SI1,540,4.28,4.22,2.66
0.96,Premium,E,SI2,3016,6.3,6.24,3.94
0.73,Ideal,I,VS2,2327,5.79,5.8,3.6
2,Good,G,SI1,17740,7.84,7.93,5.06
1,Ideal,E,VS2,6720,6.42,6.39,3.98
0.3,Very Good,F,IF,886,4.3,4.32,2.7
1.02,Very Good,F,SI1,5155,6.49,6.55,3.96
0.32,Ideal,G,SI1,508,4.38,4.41,2.74
0.43,Ideal,G,VVS2,954,4.86,4.89,3.02
1.03,Premium,F,VS1,7365,6.51,6.47,4.04
2.04,Premium,G,SI2,14900,8.14,8.06,5.03
0.32,Good,D,VS2,657,4.35,4.42,2.79
0.7,Very Good,E,VS1,3109,5.61,5.64,3.49
1.08,Ideal,H,SI1,5867,6.69,6.66,4.01
0.51,Ideal,H,VVS1,1837,5.12,5.15,3.16
1.03,Good,J,VS1,4582,6.43,6.49,3.88
0.9,Very Good,H,VS2,3878,6.14,6.21,3.78
1.5,Premium,I,VS1,10080,7.3,7.25,4.56
1.26,Premium,F,SI2,6657,6.99,6.91,4.26
0.74,Very Good,D,SI2,2740,5.79,5.82,3.57
0.52,Very Good,E,SI2,1146,5.2,5.24,3.19
0.35,Premium,G,VS1,906,4.58,4.54,2.77
0.9,Premium,I,VS2,3663,6.37,6.25,3.79
1.6,Premium,H,SI2,8184,7.55,7.6,4.5
0.5,Ideal,F,VVS2,2210,5.05,5.1,3.11
2.4,Premium,J,SI1,16304,8.75,8.71,5.21
1.73,Premium,H,VS2,13221,7.82,7.78,4.62
0.9,Premium,G,SI1,3774,6.17,6.14,3.77
0.58,Ideal,F,VS1,1865,5.37,5.33,3.31
1.14,Premium,G,VS2,6619,6.75,6.71,4.12
0.58,Ideal,H,VS1,1671,5.39,5.42,3.31
2.16,Ideal,H,SI1,17820,8.3,8.38,5.16
0.4,Ideal,E,VVS1,1397,4.73,4.7,2.9
1,Good,H,SI1,4568,6.38,6.41,3.93
1.59,Ideal,J,VS1,8925,7.47,7.51,4.65
0.91,Good,F,SI1,3924,6.17,6.1,3.91
1.51,Good,J,VS1,8271,7.26,7.31,4.48
0.31,Very Good,D,VS2,734,4.32,4.35,2.7
0.67,Premium,G,VVS2,2658,5.66,5.58,3.38
0.52,Very Good,E,VS1,1822,5.07,5.11,3.22
1.7,Ideal,G,VS2,15756,7.66,7.6,4.8
0.41,Premium,G,VS2,827,4.75,4.79,2.93
0.3,Good,G,VVS2,684,4.23,4.27,2.69
0.51,Ideal,G,VS1,1691,5.12,5.16,3.18
0.28,Ideal,F,SI1,481,4.26,4.3,2.6
0.35,Ideal,D,VS2,1063,4.55,4.51,2.8
0.31,Ideal,G,VVS2,931,4.35,4.33,2.69
1.25,Premium,H,VS2,5902,6.9,6.84,4.25
1.17,Ideal,J,SI1,4883,6.74,6.77,4.21
0.34,Ideal,D,SI1,626,4.51,4.54,2.74
0.41,Very Good,G,SI1,735,4.77,4.84,2.9
1.22,Premium,J,VS1,5910,6.92,6.85,4.25
0.72,Premium,E,IF,3951,5.74,5.71,3.51
0.3,Ideal,F,IF,886,4.33,4.36,2.71
0.7,Very Good,H,SI2,1895,5.68,5.74,3.48
0.52,Ideal,G,VS1,1803,5.13,5.16,3.18
1.02,Ideal,G,SI1,4044,6.42,6.37,3.99
1.04,Premium,F,SI2,4717,6.6,6.55,3.96
0.41,Ideal,E,VVS2,1243,4.77,4.72,2.98
1.21,Premium,H,SI2,5421,6.75,6.7,4.21
1.51,Premium,H,VS2,11540,7.35,7.33,4.42
1.02,Ideal,G,SI1,4708,6.57,6.54,3.95
1.02,Ideal,E,VVS2,10384,6.55,6.5,4.01
0.52,Ideal,G,VS1,1665,5.16,5.18,3.19
2.1,Ideal,H,SI1,15035,8.3,8.19,5.09
0.34,Premium,D,SI1,626,4.42,4.45,2.78
1.05,Ideal,H,SI1,4937,6.43,6.52,4.05
1.1,Premium,F,VS1,7762,6.7,6.64,4.06
0.51,Premium,E,SI1,1593,5.14,5.11,3.15
0.3,Very Good,G,VS1,725,4.26,4.21,2.69
1.51,Good,H,SI2,8243,7.29,7.37,4.47
1.59,Premium,G,SI1,10996,7.45,7.43,4.62
0.61,Ideal,G,VVS1,2544,5.39,5.43,3.39
0.72,Very Good,G,VVS2,2889,5.68,5.72,3.56
0.25,Very Good,E,VS2,404,4,4.03,2.54
1.82,Premium,H,VS2,14749,7.78,7.74,4.78
0.57,Ideal,G,VS1,1851,5.34,5.36,3.28
0.5,Ideal,H,IF,1844,5.1,5.13,3.19
0.39,Premium,J,VS1,790,4.71,4.66,2.86
2.33,Premium,J,SI1,11638,8.6,8.56,5.24
0.31,Ideal,D,VS2,734,4.29,4.32,2.69
0.55,Ideal,H,SI2,1037,5.24,5.27,3.29
0.4,Ideal,E,VVS2,1158,4.71,4.78,2.95
0.71,Very Good,G,VS2,2382,5.56,5.6,3.6
1.5,Good,I,SI1,8258,7.31,7.34,4.62
0.31,Ideal,G,VS2,544,4.29,4.34,2.69
0.31,Ideal,H,VS2,489,4.35,4.37,2.71
0.71,Premium,E,VS2,2711,5.68,5.72,3.54
1.01,Very Good,H,VS1,5055,6.46,6.5,3.86
0.51,Very Good,G,VVS2,1750,5.06,5.12,3.2
1,Premium,H,SI1,4788,6.38,6.35,3.9
1.24,Ideal,H,SI1,6488,6.9,6.95,4.22
0.36,Ideal,F,VVS2,896,4.58,4.61,2.82